target,vehicle,time,dt
108368,veh40,263,inf
108368,veh6,266,3.000000
108368,veh28,268,2.000000
108368,veh91,274,6.000000
108368,veh0,276,2.000000
108368,veh37,279,3.000000
108368,veh73,282,3.000000
108368,veh7,285,3.000000
108368,veh31,287,2.000000
108368,veh52,290,3.000000
108368,veh62,293,3.000000
108368,veh98,295,2.000000
108368,veh20,298,3.000000
108368,veh54,301,3.000000
108368,veh32,304,3.000000
108368,veh15,356,52.000000
108368,veh26,360,4.000000
108368,veh36,362,2.000000
108368,veh5,368,6.000000
108368,veh16,371,3.000000
108368,veh17,373,2.000000
108368,veh45,376,3.000000
108368,veh2,379,3.000000
108368,veh71,382,3.000000
108368,veh83,384,2.000000
108368,veh51,387,3.000000
108368,veh59,390,3.000000
108368,veh84,392,2.000000
108368,veh14,395,3.000000
108368,veh4,398,3.000000
108368,veh55,401,3.000000
108368,veh65,405,4.000000
108368,veh95,407,2.000000
108368,veh42,441,34.000000
108368,veh82,445,4.000000
108368,veh48,453,8.000000
108368,veh8,456,3.000000
108368,veh97,459,3.000000
108368,veh57,461,2.000000
108368,veh80,464,3.000000
108368,veh53,467,3.000000
108368,veh93,536,69.000000
108368,veh69,538,2.000000
108368,veh81,541,3.000000
108368,veh47,545,4.000000
108368,veh13,547,2.000000
108368,veh23,550,3.000000
108368,veh39,553,3.000000
108368,veh44,556,3.000000
273783,veh10,764,inf
273783,veh29,861,97.000000
273783,veh43,946,85.000000
273783,veh72,952,6.000000
273783,veh90,956,4.000000
273783,veh46,960,4.000000
273783,veh58,963,3.000000
273783,veh86,1038,75.000000
273783,veh64,1044,6.000000
273783,veh18,1048,4.000000
273783,veh19,1051,3.000000
273783,veh3,1055,4.000000
273783,veh89,1058,3.000000
273783,veh75,1061,3.000000
273783,veh56,1132,71.000000
273783,veh38,1135,3.000000
273783,veh94,1139,4.000000
273783,veh30,1142,3.000000
273783,veh68,1146,4.000000
273783,veh11,1195,49.000000
273783,veh87,1199,4.000000
273783,veh61,1202,3.000000
273783,veh41,1206,4.000000
273783,veh99,1210,4.000000
273783,veh60,1213,3.000000
273783,veh70,1217,4.000000
273783,veh76,1220,3.000000
273783,veh35,1224,4.000000
273783,veh85,1227,3.000000
273783,veh22,1231,4.000000
273783,veh78,1234,3.000000
273783,veh9,1238,4.000000
273783,veh21,1242,4.000000
273783,veh88,1286,44.000000
273783,veh63,1308,22.000000
273783,veh67,1316,8.000000
273783,veh12,1319,3.000000
273783,veh27,1323,4.000000
273783,veh1,1327,4.000000
273783,veh74,1331,4.000000
273783,veh25,1380,49.000000
273783,veh33,1394,14.000000
273783,veh50,1406,12.000000
273783,veh49,1411,5.000000
273783,veh92,1415,4.000000
273783,veh24,1420,5.000000
273783,veh34,1423,3.000000
273783,veh79,1464,41.000000
273783,veh66,1471,7.000000
273783,veh77,1475,4.000000
273783,veh96,1479,4.000000
