target,vehicle,time,dt
25471086,veh29,438,inf
25471086,veh89,441,3.000000
25471086,veh28,444,3.000000
25471086,veh6,447,3.000000
25471086,veh10,524,77.000000
25471086,veh31,528,4.000000
25471086,veh78,531,3.000000
25471086,veh47,535,4.000000
25471086,veh45,615,80.000000
25471086,veh14,619,4.000000
25471086,veh11,623,4.000000
25471086,veh52,626,3.000000
25471086,veh39,630,4.000000
25471086,veh3,706,76.000000
25471086,veh21,710,4.000000
25471086,veh35,713,3.000000
25471086,veh74,718,5.000000
25471086,veh1,722,4.000000
25471086,veh40,795,73.000000
25471086,veh12,799,4.000000
25471086,veh96,802,3.000000
25471086,veh24,807,5.000000
25471086,veh34,811,4.000000
25471086,veh53,886,75.000000
25471086,veh91,892,6.000000
25471086,veh98,895,3.000000
25471086,veh25,899,4.000000
25471086,veh18,902,3.000000
25471086,veh32,977,75.000000
25471086,veh88,980,3.000000
25471086,veh67,984,4.000000
25471086,veh42,987,3.000000
25471086,veh41,990,3.000000
25471086,veh13,1065,75.000000
25471086,veh99,1068,3.000000
25471086,veh20,1072,4.000000
25471086,veh37,1075,3.000000
25471086,veh92,1080,5.000000
25471086,veh19,1155,75.000000
25471086,veh87,1159,4.000000
25471086,veh56,1163,4.000000
25471086,veh4,1167,4.000000
25471086,veh97,1171,4.000000
25471086,veh68,1247,76.000000
25471086,veh23,1252,5.000000
25471086,veh55,1256,4.000000
25471086,veh76,1260,4.000000
25471086,veh59,1263,3.000000
25471086,veh16,1338,75.000000
25471086,veh9,1343,5.000000
25471086,veh43,1347,4.000000
25471086,veh26,1350,3.000000
25471086,veh77,1353,3.000000
25471086,veh22,1427,74.000000
25471086,veh50,1431,4.000000
25471086,veh46,1434,3.000000
25471086,veh0,1438,4.000000
25471086,veh44,1441,3.000000
25471086,veh8,1518,77.000000
25471086,veh54,1521,3.000000
25471086,veh64,1525,4.000000
25471086,veh93,1529,4.000000
25471086,veh94,1607,78.000000
25471086,veh86,1611,4.000000
25471086,veh58,1614,3.000000
25471086,veh15,1617,3.000000
25471086,veh62,1621,4.000000
25471086,veh69,1697,76.000000
25471086,veh80,1701,4.000000
25471086,veh73,1704,3.000000
25471086,veh95,1708,4.000000
25471086,veh5,1712,4.000000
25471086,veh38,1785,73.000000
25471086,veh30,1788,3.000000
25471086,veh83,1792,4.000000
25471086,veh36,1796,4.000000
25471086,veh7,1800,4.000000
25471086,veh63,1877,77.000000
25471086,veh72,1881,4.000000
25471086,veh79,1884,3.000000
25471086,veh49,1889,5.000000
25471086,veh2,1966,77.000000
25471086,veh57,1969,3.000000
25471086,veh65,1973,4.000000
25471086,veh75,1976,3.000000
25471086,veh60,1980,4.000000
25471086,veh84,2055,75.000000
25471086,veh33,2058,3.000000
25471086,veh85,2062,4.000000
25471086,veh27,2065,3.000000
25471086,veh48,2070,5.000000
25471086,veh70,2146,76.000000
25471086,veh82,2150,4.000000
25471086,veh66,2154,4.000000
25471086,veh61,2157,3.000000
25471086,veh17,2161,4.000000
25471086,veh51,2235,74.000000
25471086,veh71,2241,6.000000
25471086,veh81,2245,4.000000
25471086,veh90,2248,3.000000
