id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,4844725950,31145991,658.699,681.847,1438,4.000000,25471086
veh1,1691695885,cluster_3309729692_648861184,657.776,679.978,722,4.000000,25471086
veh2,619174398,34223059,659.799,682.631,1966,77.000000,25471086
veh3,2322279896,648861124,651.017,675.720,706,76.000000,25471086
veh4,26592185,648861124,680.347,713.340,1167,4.000000,25471086
veh5,864927946,648861171,629.448,651.728,1712,4.000000,25471086
veh6,26592042,560720546,610.562,641.936,447,3.000000,25471086
veh7,26592154,648861123,671.199,701.396,1800,4.000000,25471086
veh8,26592065,648861101,667.411,693.370,1518,77.000000,25471086
veh9,26592065,672650549,665.114,690.514,1343,5.000000,25471086
veh10,cluster_2322273093_26592033_26592053,31145991,616.916,644.782,524,77.000000,25471086
veh11,26592030,2058123412,635.397,657.260,623,4.000000,25471086
veh12,108349702,26662534,672.937,696.850,799,4.000000,25471086
veh13,3024783793,106840,626.647,647.847,1065,75.000000,25471086
veh14,5164153626,648861123,639.057,663.776,619,4.000000,25471086
veh15,26592068,4712600952,698.820,720.732,1617,3.000000,25471086
veh16,2689677100,4712600943,689.243,711.717,1338,75.000000,25471086
veh17,26592103,108594,705.534,728.137,2161,4.000000,25471086
veh18,1691695939,1812773806,689.898,711.098,902,3.000000,25471086
veh19,26592036,cluster_1841340870_28800409,646.438,670.470,1155,75.000000,25471086
veh20,26592107,cluster_18060034_48677470,682.281,708.053,1072,4.000000,25471086
veh21,1691695889,2312962818,648.987,673.804,710,4.000000,25471086
veh22,619174396,3171486564,669.862,692.466,1427,74.000000,25471086
veh23,26592154,cluster_18060028_6565224970,691.909,721.546,1252,5.000000,25471086
veh24,96072412,618348964,671.611,692.811,807,5.000000,25471086
veh25,108349702,28800413,636.544,657.744,899,4.000000,25471086
veh26,26592084,198242,643.501,665.356,1350,3.000000,25471086
veh27,619174396,5659817721,667.118,691.307,2065,3.000000,25471086
veh28,858395757,2714971493,623.867,659.472,444,3.000000,25471086
veh29,1691695945,cluster_18060028_6565224970,635.373,659.737,438,inf,25471086
veh30,26592140,648861171,634.117,655.869,1788,3.000000,25471086
veh31,cluster_2322273093_26592033_26592053,648861188,641.603,667.660,528,4.000000,25471086
veh32,1691695944,659503980,670.741,694.295,977,75.000000,25471086
veh33,cluster_26592134_3946375373,648861183,661.214,685.008,2058,3.000000,25471086
veh34,26607505,cluster_18060034_48677470,666.522,689.970,811,4.000000,25471086
veh35,1691695885,4712600943,703.524,724.724,713,3.000000,25471086
veh36,26592131,34223059,658.179,682.631,1796,4.000000,25471086
veh37,26592073,18059999,701.843,723.043,1075,3.000000,25471086
veh38,cluster_18129859_26592176,1812773807,708.646,741.080,1785,73.000000,25471086
veh39,18129872,34223057,631.243,654.862,630,4.000000,25471086
veh40,1691695885,48311975,647.961,672.164,795,73.000000,25471086
veh41,5167408132,3309729113,646.046,667.246,990,3.000000,25471086
veh42,1691695944,648861101,637.420,660.434,987,3.000000,25471086
veh43,26592103,48695367,675.205,697.249,1347,4.000000,25471086
veh44,2322279888,48695361,645.606,667.529,1441,3.000000,25471086
veh45,cluster_2322273093_26592033_26592053,3309729113,623.763,645.753,615,80.000000,25471086
