target,vehicle,time,dt
3705603827,veh33,421,inf
601141518,veh95,486,inf
3705603827,veh13,493,72.000000
3705603827,veh94,506,13.000000
3705603827,veh22,510,4.000000
3705603827,veh57,519,9.000000
3705603827,veh64,540,21.000000
3705603827,veh62,542,2.000000
601141518,veh27,545,59.000000
601141518,veh90,545,0.000000
601141518,veh15,547,2.000000
1039760426,veh61,548,inf
3705603827,veh20,593,51.000000
3705603827,veh68,595,2.000000
3705603827,veh16,612,17.000000
3705603827,veh37,615,3.000000
3705603827,veh46,617,2.000000
3705603827,veh0,619,2.000000
601141518,veh11,635,88.000000
601141518,veh25,635,0.000000
601141518,veh80,635,0.000000
3705603827,veh56,636,17.000000
601141518,veh19,637,2.000000
601141518,veh24,637,0.000000
601141518,veh51,637,0.000000
3705603827,veh4,638,2.000000
601141518,veh69,639,2.000000
601141518,veh70,639,0.000000
601141518,veh81,639,0.000000
601141518,veh55,641,2.000000
3705603827,veh67,641,3.000000
601141518,veh84,641,0.000000
601141518,veh91,641,0.000000
601141518,veh21,643,2.000000
601141518,veh71,643,0.000000
5811143789,veh79,643,inf
601141518,veh97,643,0.000000
601141518,veh10,645,2.000000
5811143789,veh66,669,26.000000
3705603827,veh42,680,39.000000
3705603827,veh30,684,4.000000
3705603827,veh86,695,11.000000
3705603827,veh9,703,8.000000
3705603827,veh8,706,3.000000
3705603827,veh6,709,3.000000
3705603827,veh41,712,3.000000
3705603827,veh2,714,2.000000
3705603827,veh96,716,2.000000
601141518,veh36,725,80.000000
601141518,veh65,725,0.000000
601141518,veh92,725,0.000000
601141518,veh28,727,2.000000
601141518,veh43,727,0.000000
601141518,veh1,728,1.000000
601141518,veh48,729,1.000000
601141518,veh98,729,0.000000
601141518,veh99,729,0.000000
601141518,veh23,731,2.000000
601141518,veh5,732,1.000000
1039760426,veh53,736,188.000000
3705603827,veh3,771,55.000000
3705603827,veh89,774,3.000000
3705603827,veh72,779,5.000000
3705603827,veh77,784,5.000000
3705603827,veh58,789,5.000000
3705603827,veh54,794,5.000000
3705603827,veh12,799,5.000000
3705603827,veh31,803,4.000000
3705603827,veh50,809,6.000000
1039760426,veh44,817,81.000000
3705603827,veh88,860,51.000000
3705603827,veh49,864,4.000000
3705603827,veh38,867,3.000000
3705603827,veh32,873,6.000000
3705603827,veh17,876,3.000000
3705603827,veh85,881,5.000000
3705603827,veh34,886,5.000000
3705603827,veh93,891,5.000000
3705603827,veh76,896,5.000000
3705603827,veh14,951,55.000000
3705603827,veh47,954,3.000000
