id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,2681420502,26662534,614.133,757.829,619,2.000000,3705603827
veh1,619174396,659503962,708.603,817.390,728,1.000000,601141518
veh2,cluster_18129859_26592176,47855253,598.584,745.962,714,2.000000,3705603827
veh3,26592960,106841,580.675,725.375,771,55.000000,3705603827
veh4,2322279896,659503962,643.571,786.160,638,2.000000,3705603827
veh5,619174396,18060014,653.795,761.621,732,1.000000,601141518
veh6,26592154,110291,608.553,751.074,709,3.000000,3705603827
veh7,26592129,5179015875,637.035,748.171,,,5811143789
veh8,26592084,900714116,589.145,734.261,706,3.000000,3705603827
veh9,cluster_2322273093_26592033_26592053,cluster_18060013_6338662282_648861182,596.720,741.447,703,8.000000,3705603827
veh10,26592061,6199865125,655.161,763.568,645,2.000000,601141518
veh11,5167408132,2714971493,615.511,740.653,635,88.000000,601141518
veh12,26592960,cluster_18060034_48677470,654.771,807.881,799,5.000000,3705603827
veh13,1691695930,47855253,540.829,691.361,493,72.000000,3705603827
veh14,26592140,198282,703.689,847.176,951,55.000000,3705603827
veh15,108349702,34223057,605.119,724.551,547,2.000000,601141518
veh16,1691695943,48695367,586.033,731.720,612,17.000000,3705603827
veh17,cluster_26592071_26592100,900714114,644.378,791.103,876,3.000000,3705603827
veh18,364653499,648861167,640.669,,,,
veh19,864927973,648861188,657.876,767.593,637,2.000000,601141518
veh20,26607505,cluster_18060028_6565224970,606.740,749.697,593,51.000000,3705603827
veh21,cluster_18129859_26592176,3171486566,632.748,752.490,643,2.000000,601141518
veh22,1691695945,106841,532.733,679.294,510,4.000000,3705603827
veh23,26592140,618348964,678.854,789.078,731,2.000000,601141518
veh24,18129872,10530339,554.398,699.599,637,0.000000,601141518
veh25,26592068,48695367,612.767,731.991,635,0.000000,601141518
veh26,96071393,659503803,680.288,,,,
veh27,108349702,2264273371,629.039,747.521,545,59.000000,601141518
veh28,26592129,648861167,641.656,751.312,727,2.000000,601141518
veh29,26592030,6199865125,659.821,,,,
veh30,2681420502,288164005,654.830,800.886,684,4.000000,3705603827
veh31,5156156815,48311988,662.411,807.892,803,4.000000,3705603827
veh32,26592050,18059989,649.672,786.668,873,6.000000,3705603827
veh33,1691695945,900714116,537.250,682.113,421,inf,3705603827
veh34,96071393,48300366,652.651,795.809,886,5.000000,3705603827
veh35,26592093,18060014,665.158,759.344,,,5811143789
veh36,619174398,5659817721,655.782,764.897,725,80.000000,601141518
veh37,3304932559,cluster_18060013_6338662282_648861182,601.382,743.903,615,3.000000,3705603827
veh38,26592050,18060026,671.542,814.063,867,3.000000,3705603827
veh39,26592131,26662534,672.354,784.570,,,5811143789
veh40,5164153626,28800414,634.513,,,,
veh41,26592073,26662534,632.093,775.496,712,3.000000,3705603827
veh42,95960626,198247,621.484,768.802,680,39.000000,3705603827
veh43,26592061,1163157561,676.858,775.067,727,0.000000,601141518
veh44,26592065,659503840,660.658,841.345,817,81.000000,1039760426
veh45,1691695939,cluster_18060034_48677470,686.408,,,,
veh46,2323414045,106840,562.322,706.204,617,2.000000,3705603827
veh47,4844725950,900714117,628.621,773.729,954,3.000000,3705603827
veh48,4844725944,48300366,641.927,751.569,729,1.000000,601141518
veh49,442864088,108594,687.347,834.483,864,4.000000,3705603827
veh50,12816085,1812773806,668.546,818.275,809,6.000000,3705603827
veh51,1691695939,47855260,589.707,708.189,637,0.000000,601141518
veh52,1691695944,48300381,626.024,,,,
veh53,26592154,47855253,608.258,790.978,736,188.000000,1039760426
veh54,26592065,648861122,679.616,822.180,794,5.000000,3705603827
veh55,26592050,47855260,648.788,736.658,641,2.000000,601141518
veh56,2322279896,48311988,592.348,737.656,636,17.000000,3705603827
veh57,858395757,659503962,627.807,770.328,519,9.000000,3705603827
veh58,12816085,28800413,628.907,773.984,789,5.000000,3705603827
veh59,864927973,648861183,657.693,770.449,,,5811143789
veh60,26592050,48300366,655.646,749.292,,,5811143789
veh61,1710389916,108595,600.778,785.082,548,inf,1039760426
veh62,1710389916,648861167,563.478,707.609,542,2.000000,3705603827
veh63,cluster_26592071_26592100,648861171,643.377,,,,
veh64,1691695945,243509404,578.981,723.820,540,21.000000,3705603827
veh65,cluster_26592975_96071420,34223057,671.695,768.579,725,0.000000,601141518
veh66,2322279888,618348964,637.507,759.390,669,26.000000,5811143789
veh67,96072412,18060026,604.965,750.002,641,3.000000,3705603827
veh68,1691695943,198248,595.656,738.292,595,2.000000,3705603827
veh69,2322279896,122712630,615.736,746.565,639,2.000000,601141518
veh70,1691695944,5659817721,615.064,746.448,639,0.000000,601141518
veh71,26592059,48695355,624.917,732.269,643,0.000000,601141518
veh72,2322279896,10530339,583.615,738.805,779,5.000000,3705603827
veh73,5297943117,969168443,663.894,,,,
veh74,26592131,28800413,633.788,745.464,,,5811143789
veh75,26592050,560720542,656.415,749.521,,,5811143789
veh76,4844725950,4712600953,673.871,818.340,896,5.000000,3705603827
veh77,2323414045,900714117,582.849,736.664,784,5.000000,3705603827
veh78,26592960,106841,608.646,723.394,,,5811143789
veh79,26592185,106868,630.136,723.963,643,inf,5811143789
veh80,1691695889,18059989,577.560,717.569,635,0.000000,601141518
veh81,2322279888,31145991,611.241,740.975,639,0.000000,601141518
veh82,26592084,47855253,649.675,,,,
veh83,26592154,cluster_1841340870_28800409,638.127,752.216,,,5811143789
veh84,cluster_26592975_96071420,6199865127,667.413,763.586,641,0.000000,601141518
veh85,12816085,2714971493,672.933,817.261,881,5.000000,3705603827
veh86,5164153626,106840,575.481,726.797,695,11.000000,3705603827
veh87,26592036,198281,709.932,,,,
veh88,5156156815,618348964,683.105,828.084,860,51.000000,3705603827
veh89,26592056,985081814,668.000,812.725,774,3.000000,3705603827
veh90,5167408132,cluster_3309729692_648861184,621.173,744.620,545,0.000000,601141518
veh91,3024783793,34167523,601.817,734.194,641,0.000000,601141518
veh92,26592154,cluster_3309729692_648861184,657.397,770.721,725,0.000000,601141518
veh93,12816085,48311988,665.088,807.892,891,5.000000,3705603827
veh94,1691695930,1812773806,614.703,763.674,506,13.000000,3705603827
veh95,96072412,18060025,647.223,767.343,486,inf,601141518
veh96,1691695944,618348964,639.430,791.616,716,2.000000,3705603827
veh97,1691695944,985081818,672.302,790.115,643,0.000000,601141518
veh98,4844725950,106868,675.729,757.722,729,0.000000,601141518
veh99,619174396,cluster_1841340870_28800409,660.771,767.760,729,0.000000,601141518
