id,source,destination,shortest path length,diversion path length,sample time,target id
veh0,864927973,378757154,568.385,700.897,469,108368
veh1,128332925,5688750648,829.699,839.506,180,108368
veh2,96071393,648861168,672.422,761.100,1056,273783
veh3,3093592155,cluster_3309729692_648861184,684.786,767.318,1110,273783
veh4,26592980,6508648090,586.440,695.326,1211,273783
veh5,96072466,49529672,653.132,752.724,377,108368
veh6,387940759,70788142,605.992,782.629,457,108368
veh7,cluster_1188912785_26592967,48678904,638.199,753.921,301,108368
veh8,109864,1163126895,633.843,703.603,273,108368
veh9,26592042,2337286769,629.731,748.270,298,108368
veh10,cluster_1947343652_26389846,5961146244,560.063,676.461,291,108368
veh11,109708,560720542,626.264,698.836,868,273783
veh12,cluster_27512751_37880578,3362649807,715.845,831.115,544,108368
veh13,2689677100,108477,722.588,821.285,1120,273783
veh14,866631081,444477916,630.134,700.207,372,108368
veh15,109707,34223057,643.374,715.691,875,273783
veh16,1691695903,6512151844,562.344,671.913,463,108368
veh17,cluster_2320939067_2514564655_5197236556_5197236559_5197236563_5197236564_5197236566_5197255629_53843238,28420829,660.915,699.883,296,108368
veh18,12197090,3362649860,700.219,778.695,1040,273783
veh19,26389832,985081784,711.249,784.075,865,273783
veh20,4840726613,6375004529,581.024,723.628,285,108368
veh21,25507334,49479226,549.772,695.354,203,108368
veh22,cluster_27512751_37880578,4475812306,667.055,758.488,1287,273783
veh23,844881287,2584020692,581.785,694.971,280,108368
veh24,469876316,5830967576,674.229,790.649,452,108368
veh25,4844725944,2584020709,622.243,712.751,466,108368
veh26,5164153626,28800260,662.799,776.949,306,108368
veh27,14457897,2714971493,721.958,794.880,1229,273783
veh28,cluster_24801621_24803600,435104789,581.381,650.412,269,108368
veh29,1360237827,5659807624,596.550,666.041,861,273783
veh30,cluster_14457894_27089784,109424,667.647,742.801,1049,273783
veh31,109704,cluster_18060028_6565224970,664.022,736.749,945,273783
veh32,26607502,cluster_108478_15037321,689.498,790.129,960,273783
veh33,24498625,3362649858,668.581,737.612,267,108368
veh34,27510931,1163154973,742.419,819.968,1291,273783
veh35,109675,3171486564,677.048,742.053,1149,273783
veh36,96078432,1841441886,682.014,742.825,952,273783
veh37,cluster_37874195_37877761,10530339,676.913,803.959,480,108368
veh38,387940759,3763600767,747.342,815.337,1194,273783
veh39,12197062,18060006,720.080,792.135,1046,273783
veh40,26389887,2360806661,579.666,668.667,963,273783
veh41,26592107,1944132848,582.591,699.434,312,108368
veh42,6436441932,648861176,663.944,733.328,1135,273783
veh43,302397746,106817,778.279,893.427,390,108368
veh44,37895254,31146497,715.677,806.308,1233,273783
veh45,cluster_26389733_96078185,48644978,659.623,729.007,967,273783
veh46,387940759,618348990,774.093,841.162,1198,273783
veh47,96072427,49479229,596.787,693.720,382,108368
veh48,306462830,301570315,649.154,718.538,1222,273783
veh49,26592163,1841352362,692.735,808.750,539,108368
veh50,26592181,1838047533,720.814,810.941,478,108368
veh51,cluster_1016023571_1016037815_1016037841_1016037850_1016037856_109712_109713_2198691217_2314788134_2314788141_2314788147_2314788152_2314788162_2314788164_2314788166_4840780351_4840780352_4840780356,25775294,573.409,709.816,166,108368
veh52,25507340,cluster_1062133810_10676801,545.100,659.895,264,108368
veh53,1210408915,18059995,794.716,912.618,370,108368
veh54,37898863,1162226072,772.297,864.413,1294,273783
veh55,cluster_109679_1691189628_3818359146_5904372083,1685806903,641.023,711.715,1106,273783
veh56,1141868530,26662539,770.866,890.961,1314,273783
veh57,26389701,2972062754,710.822,782.933,1202,273783
veh58,392513929,317713873,650.453,709.667,1059,273783
veh59,26592120,1694505356,626.464,756.305,315,108368
veh60,1710389916,5683526637,571.125,697.294,362,108368
veh61,302397749,25475598,704.179,787.192,1236,273783
veh62,96071563,648861123,729.528,831.559,474,108368
veh63,846869651,1699964744,708.578,794.018,1117,273783
veh64,1143598728,33053484,691.011,795.952,1318,273783
veh65,37878510,108464,605.255,720.845,472,108368
veh66,24792341,4540828158,678.860,745.434,345,108368
veh67,cluster_26592973_26594471,cluster_26396545_26396546,653.761,710.392,1113,273783
veh68,5162003756,5360013215,659.191,738.005,1146,273783
veh69,1691189726,4915768585,740.781,813.356,1052,273783
veh70,24500532,2362216857,621.028,684.674,244,108368
veh71,26607511,cluster_106839_3683048296_371587496_47318723,578.944,720.857,283,108368
veh72,1360237827,6379838728,679.152,748.536,771,273783
veh73,3542083579,cluster_106839_3683048296_371587496_47318723,597.614,701.175,359,108368
veh74,96071528,3171486566,735.338,835.238,386,108368
veh75,37890853,48709083,813.220,923.024,387,108368
veh76,2514569280,1826845433,748.948,787.153,288,108368
veh77,26592984,33053484,654.504,754.516,1139,273783
veh78,2322279896,48705205,719.936,834.256,303,108368
veh79,1851328033,6002591244,645.774,726.268,460,108368
veh80,37890853,1235278194,724.200,803.288,380,108368
veh81,95984585,33053797,746.354,866.009,1142,273783
veh82,18129855,109384,737.278,855.092,393,108368
veh83,5267783305,5983379679,586.923,680.727,357,108368
veh84,1231977887,198247,612.358,754.271,175,108368
veh85,5148672650,cluster_109374_1961159897,595.082,664.473,871,273783
veh86,cluster_31200011_31200012,1694505449,646.955,736.973,1226,273783
veh87,3502507794,cluster_108646_618349007,682.657,783.014,276,108368
veh88,29049572,1699964732,746.201,859.766,455,108368
veh89,5196228800,198252,701.164,797.213,367,108368
veh90,cluster_2319473994_27512745,2584009065,677.315,793.946,1306,273783
veh91,cluster_109676_109677,48295081,685.902,757.945,1132,273783
veh92,24500539,28800234,643.195,706.841,346,108368
veh93,cluster_1938018124_6024047911,1163155002,707.707,751.124,1240,273783
veh94,5167408132,48646887,715.419,831.287,309,108368
veh95,37888589,5683490279,643.801,759.952,542,108368
veh96,846861675,900714116,601.953,700.425,956,273783
veh97,782419356,1841465051,707.911,761.733,1207,273783
veh98,6551816711,109383,700.709,819.356,350,108368
veh99,705343913,1843097755,693.473,777.092,365,108368
