id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,1691695943,198242,560.540,712.860,264,3.000000,108368
veh1,2322279896,1812773807,641.314,784.773,283,16.000000,108368
veh2,5162003756,3171486564,678.595,,,,
veh3,1691695930,cluster_1841340870_28800409,579.478,722.228,261,inf,108368
veh4,26592157,34223057,652.462,771.786,1385,3.000000,273783
veh5,26592960,48311988,652.967,808.616,1012,17.000000,4544836447
veh6,5164153626,48735712,597.648,726.978,859,6.000000,273783
veh7,26593078,198242,662.422,,,,
veh8,26652960,3171486564,592.071,739.486,1133,6.000000,273783
veh9,1691695885,2058123414,623.013,767.293,360,72.000000,108368
veh10,26592960,900714114,637.313,791.730,1056,41.000000,4544836447
veh11,26592142,648861173,649.814,,,,
veh12,12816085,648861167,620.058,748.659,1285,45.000000,273783
veh13,2681420502,18059989,611.739,756.167,365,3.000000,108368
veh14,12816085,122712630,639.383,759.947,1326,4.000000,273783
veh15,cluster_26592071_26592100,18060014,643.667,799.672,987,55.000000,4544836447
veh16,26592137,cluster_18060028_6565224970,684.380,820.144,451,9.000000,108368
veh17,5162003756,648861167,659.864,,,,
veh18,3024783793,648861106,698.723,,,,
veh19,5167408132,48695367,625.152,781.494,288,3.000000,108368
veh20,2681420502,648861122,665.108,821.200,995,8.000000,4544836447
veh21,cluster_26592071_26592100,106840,626.938,745.285,1413,4.000000,273783
veh22,2681420502,659503980,685.125,802.802,1507,4.000000,273783
veh23,1691695944,3171486566,640.158,,,,
veh24,364653499,6015240652,652.148,781.536,1382,53.000000,273783
veh25,cluster_2322273093_26592033_26592053,28800414,630.668,,,,
veh26,858395757,560720546,603.808,770.545,741,6.000000,4544836447
veh27,5167408132,1761166280,576.964,717.606,1240,4.000000,273783
veh28,26592093,cluster_108590_648861112,679.073,835.172,909,6.000000,4544836447
veh29,5164153626,969168443,592.903,730.421,1040,93.000000,273783
veh30,26607505,900714116,567.348,720.798,1140,4.000000,273783
veh31,2322279893,198247,670.659,,,,
veh32,5297943117,48695361,651.422,786.422,533,82.000000,108368
veh33,26592073,648861183,622.457,761.990,1136,3.000000,273783
veh34,4844725944,659503840,672.363,827.108,1164,3.000000,4544836447
veh35,1691695944,3309729113,610.685,789.374,735,4.000000,4544836447
veh36,108349702,34223057,619.950,785.809,727,107.000000,4544836447
veh37,1691695943,288164060,622.516,818.957,620,6.000000,4544836447
veh38,1691695939,659503980,690.611,,,,
veh39,26592068,672650549,620.498,746.466,1148,4.000000,273783
veh40,619174396,648861123,672.547,793.362,442,66.000000,108368
veh41,26607505,106868,651.474,,,,
veh42,2689677100,1761166280,591.749,719.204,1233,4.000000,273783
veh43,26592061,648861123,663.575,780.603,1465,49.000000,273783
veh44,26592068,48695367,628.808,790.987,731,4.000000,4544836447
veh45,26592073,cluster_3309729692_648861184,632.053,784.152,362,2.000000,108368
veh46,26592107,648861123,606.895,772.805,614,73.000000,4544836447
veh47,5167408132,900714116,613.051,741.030,1311,26.000000,273783
veh48,864927973,48695361,644.652,762.329,1492,23.000000,273783
veh49,cluster_18129859_26592176,47855263,608.055,768.844,925,16.000000,4544836447
veh50,26592142,18060014,663.241,782.536,1588,9.000000,273783
veh51,4844725956,560720542,650.954,769.498,1553,43.000000,273783
veh52,5297943117,648861101,670.819,827.184,1087,31.000000,4544836447
veh53,26592073,659503840,628.341,762.661,1194,42.000000,273783
veh54,26592073,18059999,674.810,802.608,1319,4.000000,273783
veh55,1691695889,47855253,574.765,717.761,285,2.000000,108368
veh56,26652960,2058123412,644.213,798.997,1161,67.000000,4544836447
veh57,cluster_2322273093_26592033_26592053,31145991,587.607,731.727,267,3.000000,108368
veh58,cluster_2322273093_26592033_26592053,cluster_18060034_48677470,635.384,765.891,947,88.000000,273783
veh59,26592093,5179015875,648.223,764.513,1322,3.000000,273783
veh60,95960626,2058123412,612.984,755.007,1044,4.000000,273783
veh61,26592137,cluster_18060034_48677470,696.182,814.985,1405,4.000000,273783
veh62,1691695885,648861126,634.845,754.189,1047,3.000000,273783
veh63,108349702,6015240652,641.827,806.648,791,50.000000,4544836447
veh64,26592960,4712600953,665.337,809.520,376,2.000000,108368
veh65,26592036,28800414,641.162,,,,
veh66,26592050,108594,702.752,860.091,932,4.000000,4544836447
veh67,26592093,10530339,633.909,740.843,1229,5.000000,273783
veh68,cluster_26592134_3946375373,288167137,693.667,811.885,1499,4.000000,273783
veh69,95960626,48311975,615.183,755.483,1152,4.000000,273783
veh70,4844725951,4712600952,717.477,835.481,1579,22.000000,273783
veh71,26592059,122712630,653.892,809.859,1015,3.000000,4544836447
veh72,26592061,1163157561,678.301,826.307,903,108.000000,4544836447
veh73,12816085,108594,701.862,843.775,374,3.000000,108368
veh74,364653499,108594,689.634,808.593,1329,3.000000,273783
veh75,26592140,6199865127,664.326,820.151,1094,4.000000,4544836447
veh76,3304932559,5179015875,588.784,724.700,1051,4.000000,273783
veh77,26592131,cluster_1841340870_28800409,658.059,777.402,1510,3.000000,273783
veh78,26592129,288164005,705.828,824.091,1409,4.000000,273783
veh79,cluster_2322273086_2322273094_2322284839_2322284842_2322284843_2322284844_2322288196_3110025107_5167408001,648861166,589.808,755.718,541,inf,4544836447
veh80,364653543,1841352339,657.502,767.805,1315,4.000000,273783
veh81,619174398,106841,632.992,752.651,1469,4.000000,273783
veh82,26592093,648861124,684.617,790.991,1144,4.000000,273783
veh83,26592093,198247,681.126,786.941,1236,3.000000,273783
veh84,cluster_2322273086_2322273094_2322284839_2322284842_2322284843_2322284844_2322288196_3110025107_5167408001,198282,644.187,772.614,853,inf,273783
veh85,26592137,108594,702.911,820.094,1495,3.000000,273783
veh86,619174396,108645,704.867,823.951,1503,4.000000,273783
veh87,cluster_18129859_26592176,1812773807,690.027,837.578,371,3.000000,108368
veh88,108349702,3171486566,617.195,746.804,1054,3.000000,273783
veh89,cluster_2322273093_26592033_26592053,47855253,589.116,768.262,795,4.000000,4544836447
veh90,26592137,198242,652.076,807.361,1172,8.000000,4544836447
veh91,26592059,3309729113,656.254,776.389,1224,30.000000,273783
veh92,cluster_26592975_96071420,2312962818,688.983,,,,
veh93,2689677100,108647,663.603,807.330,368,3.000000,108368
veh94,5162003756,1812773807,708.592,863.794,928,3.000000,4544836447
veh95,364653543,47855260,629.140,785.424,1090,3.000000,4544836447
veh96,96072412,648861166,608.850,736.029,1127,73.000000,273783
veh97,858395763,2312962818,649.245,766.840,1401,16.000000,273783
veh98,26592142,3171486566,671.086,789.841,1557,4.000000,273783
veh99,26592129,31145991,655.484,773.207,1416,3.000000,273783
