id,source,destination,shortest path length,diversion path length,sample time,target id
veh0,1231977687,49502094,653.282,668.132,1003,34168007
veh1,5963192251,34167941,632.010,647.434,1063,34168007
veh2,2319997661,5830956970,646.171,700.360,201,108368
veh3,26652959,1692502411,580.006,635.835,818,703524044
veh4,302397746,4712600952,774.757,842.393,1116,703524044
veh5,21558065,3683048297,595.574,663.210,913,703524044
veh6,26652971,1694671757,548.296,615.932,847,703524044
veh7,27510913,378757154,629.615,705.931,1214,703524044
veh8,26389711,48644985,712.606,768.435,1002,703524044
veh9,1208528198,106881,631.514,672.746,1270,703524044
veh10,96071528,34104965,790.220,857.856,1217,703524044
veh11,24789842,198238,700.482,754.458,1054,34168007
veh12,26593005,198235,736.398,781.836,976,34168007
veh13,109719,288164060,662.865,728.901,967,34168007
veh14,cluster_109679_1691189628_3818359146_5904372083,18056487,727.491,783.320,916,703524044
veh15,1210187601,106877,697.609,712.459,1419,34168007
veh16,27511250,106863,693.389,727.714,1333,34168007
veh17,18129855,659504045,837.759,904.390,1428,34168007
veh18,846869652,108621,745.297,808.454,898,34168007
veh19,cluster_3818359116_3818359126_3818359130_3818359137,1490928684,712.199,830.180,738,1249708436
veh20,1110941499,1692502311,694.063,755.287,999,703524044
veh21,5162003756,1959010472,663.375,731.011,1028,703524044
veh22,26389817,985082001,730.450,786.279,918,703524044
veh23,1691695903,110156,576.018,661.028,1037,703524044
veh24,26607504,198268,656.806,710.782,981,34168007
veh25,306463107,5830976698,624.566,680.395,1034,703524044
veh26,37890015,28800231,756.035,823.010,389,108368
veh27,95984585,25500800,660.990,728.626,1122,703524044
veh28,26607506,3763604787,695.670,749.646,958,34168007
veh29,26594474,1698677656,648.834,752.635,829,1249708436
veh30,26389708,cluster_142387609_28800253,719.887,821.879,728,703524044
veh31,24500536,2280537644,846.151,909.797,239,108368
veh32,cluster_37887667_37888051,392505801,672.417,747.501,352,108368
veh33,26592968,47223017,668.446,772.247,646,1249708436
veh34,26389346,6379838735,758.357,812.333,1236,34168007
veh35,37868246,659504045,797.388,864.019,1153,34168007
veh36,26389728,1828734465,683.843,699.267,991,34168007
veh37,26607518,1699964731,667.889,735.525,933,703524044
veh38,1691695943,419332719,543.783,620.099,844,703524044
veh39,4547130923,cluster_108649_48697698,714.725,782.361,1126,703524044
veh40,95991607,6379825177,666.008,734.137,1119,703524044
veh41,866631081,198235,701.992,755.968,1146,34168007
veh42,866650037,198276,830.385,884.361,1180,34168007
veh43,3749560241,251626701,635.935,703.571,939,703524044
veh44,26389696,3362649849,739.001,804.500,821,703524044
veh45,1691189749,288167137,729.251,785.080,823,703524044
veh46,490256314,1691122810,591.446,672.213,909,703524044
veh47,1231977688,110150,566.883,644.070,944,703524044
veh48,18129885,cluster_618311885_900771054,756.804,823.435,987,34168007
veh49,1960840426,1761084812,660.754,725.700,308,108368
veh50,866630798,cluster_109374_1961159897,692.208,759.844,1747,703524044
veh51,387845032,49479226,651.360,707.189,2022,703524044
veh52,26389696,5659807626,651.980,707.809,1718,703524044
veh53,711568975,25475225,592.773,660.409,1745,703524044
veh54,866578035,419243848,637.528,705.164,1925,703524044
veh55,24789843,34167925,641.607,657.031,2048,34168007
veh56,96081286,28800414,668.267,729.754,2080,703524044
veh57,cluster_1143653942_27510982,3362649801,735.621,839.422,1819,1249708436
veh58,109717,5659817721,608.260,675.896,1836,703524044
veh59,37888940,2670051594,685.453,753.089,2015,703524044
veh60,12197370,288164005,670.630,738.266,1902,703524044
veh61,cluster_109679_1691189628_3818359146_5904372083,cluster_122526274_48932366,709.522,727.800,2252,34168007
veh62,5460261648,48695361,661.237,717.066,2170,703524044
veh63,26592036,1163126604,671.841,686.691,2232,34168007
veh64,1938018125,4915768591,771.303,821.074,2149,34168007
veh65,448516398,cluster_1694422268_1763373559_25544403,591.752,647.581,1898,703524044
veh66,24826872,1694422231,620.158,669.307,1513,108368
veh67,96084310,108594,734.654,794.460,2499,34168007
veh68,96078500,727633299,661.612,717.441,1989,703524044
veh69,96077146,109382,666.484,722.313,2082,703524044
veh70,1851327954,cluster_28800369_48300372,668.167,735.803,2204,703524044
veh71,245802402,cluster_109376_47318732,601.858,669.494,2112,703524044
veh72,1851327954,985081806,768.118,832.856,2075,34168007
veh73,37897879,1761166280,695.989,763.625,2301,703524044
veh74,96071472,648861177,700.625,761.162,1554,108368
veh75,12197090,1826819691,671.338,727.167,2201,703524044
veh76,96071563,5830976700,659.451,727.087,2390,703524044
veh77,1691189717,1767293914,643.866,699.695,2196,703524044
veh78,37888940,10529804,662.415,667.027,2345,34168007
veh79,37896747,249225286,712.039,755.085,2502,34168007
veh80,37885354,2264271410,784.255,838.231,2591,34168007
veh81,295906093,5830976698,570.729,638.365,2259,703524044
veh82,2681420503,387640640,673.281,688.131,2315,34168007
veh83,128332927,2584009050,637.960,647.245,1531,108368
veh84,5284375011,6375004529,571.436,639.072,2210,703524044
veh85,306463105,34223050,659.329,714.591,2535,34168007
veh86,26592978,1843097742,720.530,786.910,2267,703524044
veh87,25524225,110181,553.265,620.901,2265,703524044
veh88,37896747,2995850623,707.865,773.053,1737,108368
veh89,cluster_1960905117_3502507863_4760956487,109419,631.834,699.470,2349,703524044
veh90,5195068600,900714122,677.116,691.966,2412,34168007
veh91,2322301372,26921264,780.858,795.708,2510,34168007
veh92,677523029,1692502383,582.840,650.476,2261,703524044
veh93,cluster_26389732_5154416288_5154417296,6231052359,655.921,671.345,2338,34168007
veh94,25507338,cluster_2584009058_2584009059_2584009066_2584035609_2584068601_2584077858_371525830,566.793,634.429,2206,703524044
veh95,31200015,25477232,656.497,743.288,2360,1249708436
veh96,109867,cluster_108473_1162226076,695.066,709.916,2404,34168007
veh97,1141823163,985081806,806.702,871.440,2504,34168007
veh98,1141868543,3362649807,741.851,845.652,2359,1249708436
veh99,37890015,cluster_108649_48697698,774.347,841.983,2649,703524044
veh100,95985909,2058123413,648.907,716.543,3013,703524044
veh101,26594443,900848169,831.097,897.728,2947,34168007
veh102,26592181,34167252,679.210,694.060,3134,34168007
veh103,37869361,6379830499,668.018,735.654,3007,703524044
veh104,2314796043,1841441886,633.165,665.639,2800,34168007
veh105,95960626,4037557120,589.636,657.272,2917,703524044
veh106,5198842672,198272,795.668,849.644,3316,34168007
veh107,1960905141,659503866,669.134,736.770,3101,703524044
veh108,96072466,cluster_56474370_6379825178,624.104,689.538,3079,1249708436
veh109,3926057442,1685806891,686.523,754.159,3276,703524044
veh110,392514202,5831149881,714.620,770.449,3159,703524044
veh111,18130212,106867,679.978,694.828,3310,34168007
veh112,cluster_25507335_25507337,26662535,643.595,711.231,3015,703524044
veh113,306462830,659504275,854.726,907.161,3418,34168007
veh114,cluster_26593006_892936760,6379834147,661.629,729.265,3433,703524044
veh115,cluster_108311_108339,28800370,588.430,656.066,3192,703524044
veh116,3749560242,1973260655,575.357,586.578,3330,34168007
veh117,1275788949,18060014,677.893,733.722,3342,703524044
veh118,31200021,10529810,764.085,778.935,3323,34168007
veh119,96072412,198264,743.079,807.817,3338,34168007
veh120,1394714394,1692431899,619.159,698.228,2696,108368
veh121,27089782,49479226,660.202,716.031,3371,703524044
veh122,37898858,48295081,740.598,808.234,3459,703524044
veh123,362229866,1692502411,548.813,616.449,3282,703524044
veh124,cluster_12816133_2080485435,29799473,661.453,676.303,3489,34168007
veh125,3926057441,cluster_106831_2624855755,710.381,778.017,3461,703524044
veh126,5267783268,5659807626,607.908,675.544,3375,703524044
veh127,96071540,2360806659,699.017,713.867,3680,34168007
veh128,cluster_846861618_846861634,1536523240,608.846,708.697,3170,1249708436
veh129,26607504,648861168,595.453,663.089,3339,703524044
veh130,21036397,1141487761,532.545,628.083,2790,108368
veh131,cluster_24801621_24803600,3362649849,671.401,740.432,2788,108368
veh132,37888940,5688750647,845.090,911.721,3687,34168007
veh133,3946375401,1826845409,695.976,763.612,3377,703524044
veh134,3749560242,1770505874,588.485,656.121,3456,703524044
veh135,1685938587,1163157556,678.303,678.957,3493,34168007
veh136,1960840420,985081806,789.028,817.676,2804,108368
veh137,95987717,3050371740,630.684,698.320,3428,703524044
veh138,866630794,648861183,735.644,803.280,3463,703524044
veh139,392513936,1841465051,741.191,741.845,3674,34168007
