id,source,destination,shortest path length,diversion path length,sample time,target id
veh0,cell51_10,cell6_45,541.903,533.464,423,cell33_41
veh1,cell43_8,cell4_40,482.043,331.636,,cell5_30
veh2,cell49_5,cell7_46,537.887,499.529,,cell33_41
veh3,cell45_10,cell10_48,481.258,264.501,386,cell33_41
veh4,cell48_10,cell3_45,550.219,489.126,,cell33_41
veh5,cell49_8,cell6_40,527.327,284.856,,cell5_30
veh6,cell49_5,cell10_41,491.644,341.933,714,cell5_30
veh7,cell47_3,cell4_39,521.313,197.671,,cell5_30
veh8,cell44_5,cell7_44,498.600,324.875,778,cell33_41
veh9,cell44_10,cell7_43,474.085,,,
veh10,cell43_4,cell10_41,494.899,453.588,,cell33_41
veh11,cell46_12,cell10_47,471.313,569.273,426,cell45_28
veh12,cell46_6,cell3_42,522.746,721.278,650,cell21_6
veh13,cell45_8,cell5_44,513.400,430.971,289,cell5_30
veh14,cell46_3,cell10_41,490.170,325.392,350,cell5_30
veh15,cell50_7,cell3_42,544.155,317.703,657,cell33_41
veh16,cell43_4,cell4_41,540.154,534.684,,cell33_41
veh17,cell49_10,cell3_43,538.669,328.014,445,cell33_41
veh18,cell47_5,cell10_41,468.469,453.588,,cell33_41
veh19,cell50_8,cell3_40,536.469,385.743,602,cell33_41
veh20,cell49_6,cell8_45,515.409,827.856,,cell21_6
veh21,cell49_5,cell4_47,592.672,374.426,662,cell33_41
veh22,cell46_12,cell2_42,508.280,350.004,567,cell5_30
veh23,cell48_8,cell5_41,517.345,394.647,,cell5_30
veh24,cell47_12,cell7_39,470.405,525.541,,cell33_41
veh25,cell46_6,cell10_42,457.243,222.281,1486,cell33_41
veh26,cell45_4,cell2_48,587.607,396.960,1140,cell33_41
veh27,cell48_9,cell2_49,581.040,336.754,1314,cell33_41
veh28,cell48_9,cell8_49,522.753,366.586,,cell5_30
veh29,cell49_10,cell5_41,519.390,371.024,1381,cell33_41
veh30,cell42_7,cell4_49,544.387,701.898,1540,cell45_28
veh31,cell51_11,cell5_48,573.108,310.497,1376,cell33_41
veh32,cell49_7,cell3_43,545.103,295.659,1471,cell33_41
veh33,cell42_4,cell5_46,588.189,301.252,1679,cell33_41
veh34,cell49_10,cell2_45,558.508,377.397,1498,cell33_41
veh35,cell48_4,cell6_43,536.182,310.532,1365,cell5_30
veh36,cell44_11,cell10_48,475.840,257.185,1764,cell33_41
veh37,cell49_11,cell10_42,459.636,292.446,,cell33_41
veh38,cell42_11,cell4_48,518.650,408.916,,cell5_30
veh39,cell50_5,cell5_41,547.221,,,
