target,vehicle,time,dt
108368,veh46,264,inf
108368,veh55,267,3.000000
108368,veh32,270,3.000000
108368,veh49,291,21.000000
108368,veh50,297,6.000000
108368,veh17,300,3.000000
108368,veh16,359,59.000000
108368,veh94,361,2.000000
108368,veh40,364,3.000000
108368,veh28,367,3.000000
108368,veh7,370,3.000000
108368,veh95,373,3.000000
108368,veh48,376,3.000000
108368,veh30,378,2.000000
108368,veh18,381,3.000000
108368,veh77,384,3.000000
108368,veh68,443,59.000000
108368,veh52,446,3.000000
108368,veh31,529,83.000000
4544836447,veh45,611,inf
4544836447,veh89,620,9.000000
4544836447,veh51,712,92.000000
4544836447,veh78,726,14.000000
4544836447,veh87,730,4.000000
4544836447,veh37,804,74.000000
4544836447,veh53,809,5.000000
4544836447,veh65,830,21.000000
273783,veh85,858,inf
4544836447,veh75,897,67.000000
4544836447,veh67,906,9.000000
4544836447,veh69,909,3.000000
4544836447,veh90,913,4.000000
4544836447,veh83,917,4.000000
4544836447,veh4,920,3.000000
4544836447,veh35,924,4.000000
273783,veh21,947,89.000000
273783,veh10,951,4.000000
273783,veh70,954,3.000000
273783,veh14,958,4.000000
273783,veh54,961,3.000000
4544836447,veh62,974,50.000000
4544836447,veh73,977,3.000000
4544836447,veh15,999,22.000000
4544836447,veh91,1007,8.000000
273783,veh12,1037,76.000000
273783,veh34,1041,4.000000
273783,veh38,1045,4.000000
273783,veh2,1049,4.000000
273783,veh3,1053,4.000000
4544836447,veh26,1077,70.000000
4544836447,veh56,1094,17.000000
273783,veh99,1125,72.000000
273783,veh86,1130,5.000000
273783,veh6,1134,4.000000
273783,veh60,1139,5.000000
273783,veh1,1148,9.000000
273783,veh79,1195,47.000000
273783,veh39,1201,6.000000
273783,veh47,1221,20.000000
273783,veh24,1228,7.000000
273783,veh27,1231,3.000000
273783,veh74,1235,4.000000
273783,veh88,1239,4.000000
273783,veh11,1243,4.000000
273783,veh97,1311,68.000000
273783,veh9,1317,6.000000
273783,veh33,1321,4.000000
273783,veh81,1324,3.000000
273783,veh76,1328,4.000000
273783,veh61,1395,67.000000
273783,veh58,1400,5.000000
273783,veh29,1405,5.000000
273783,veh8,1413,8.000000
273783,veh36,1417,4.000000
273783,veh44,1466,49.000000
273783,veh71,1488,22.000000
273783,veh41,1493,5.000000
273783,veh59,1497,4.000000
273783,veh63,1501,4.000000
273783,veh64,1505,4.000000
273783,veh5,1509,4.000000
273783,veh82,1513,4.000000
