id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,864927973,672650549,668.348,,,,
veh1,cluster_26592071_26592100,900714114,644.382,763.950,1148,9.000000,273783
veh2,5167408132,18060026,640.750,768.263,1049,4.000000,273783
veh3,cluster_26592975_96071420,198281,711.353,817.727,1053,4.000000,273783
veh4,cluster_26592071_26592100,648861122,683.562,839.797,920,3.000000,4544836447
veh5,619174398,6199865127,658.411,778.294,1509,4.000000,273783
veh6,3024783793,cluster_1841340870_28800409,641.921,758.552,1134,4.000000,273783
veh7,108349702,659503980,688.497,801.648,370,3.000000,108368
veh8,619174396,648861167,650.630,769.166,1413,8.000000,273783
veh9,2322279888,659503962,706.168,823.522,1317,6.000000,273783
veh10,858395757,1841352339,616.938,737.998,951,4.000000,273783
veh11,26592048,cluster_1841340870_28800409,655.252,772.685,1243,4.000000,273783
veh12,cluster_26592975_96071420,cluster_1841340870_28800409,666.521,772.336,1037,76.000000,273783
veh13,858395757,618348964,666.700,,,,
veh14,1691695939,648861124,635.350,773.467,958,4.000000,273783
veh15,cluster_26592975_96071420,48300366,654.998,788.948,999,22.000000,4544836447
veh16,1691695885,672650549,645.061,791.298,359,59.000000,108368
veh17,26592107,648861101,648.128,791.759,300,3.000000,108368
veh18,26592103,18060026,670.139,813.455,381,3.000000,108368
veh19,cluster_26592071_26592100,18060025,718.156,,,,
veh20,26592140,659503980,710.615,,,,
veh21,5164153626,5659817721,625.848,756.090,947,89.000000,273783
veh22,26592073,cluster_106830_6199858766,674.514,,,,
veh23,26592061,2058123414,687.887,,,,
veh24,96071393,48300381,655.315,755.983,1228,7.000000,273783
veh25,1691695889,cluster_108590_648861112,684.083,,,,
veh26,26592103,18060031,651.988,805.986,1077,70.000000,4544836447
veh27,96071393,648861183,676.020,776.129,1231,3.000000,273783
veh28,26592185,47855253,637.356,791.062,367,3.000000,108368
veh29,12816085,648861171,632.272,749.699,1405,5.000000,273783
veh30,26592137,34223059,655.163,799.203,378,2.000000,108368
veh31,4844725956,659503980,704.148,839.140,529,83.000000,108368
veh32,26592042,cluster_18060034_48677470,650.501,807.273,270,3.000000,108368
veh33,619174398,6015240652,685.863,804.126,1321,4.000000,273783
veh34,364653499,106868,630.820,740.703,1041,4.000000,273783
veh35,864927973,10530339,622.470,779.554,924,4.000000,4544836447
veh36,619174396,288164005,710.307,828.162,1417,4.000000,273783
veh37,1691695944,3171486564,635.379,792.948,804,74.000000,4544836447
veh38,26592103,648861167,653.095,760.029,1045,4.000000,273783
veh39,26592084,26662534,675.346,791.977,1201,6.000000,273783
veh40,cluster_26592134_3946375373,47855253,627.259,770.553,364,3.000000,108368
veh41,4844725952,648861124,683.344,800.128,1493,5.000000,273783
veh42,26592065,648861123,673.829,,,,
veh43,cluster_26592071_26592100,31145991,665.284,,,,
veh44,4844725951,cluster_18060034_48677470,706.963,826.258,1466,49.000000,273783
veh45,26593078,1841352362,652.826,775.335,611,inf,4544836447
veh46,1691695945,cluster_18060028_6565224970,626.740,768.958,264,inf,108368
veh47,26592093,47855260,649.868,746.300,1221,20.000000,273783
veh48,442864088,47855260,642.519,793.429,376,3.000000,108368
veh49,1710389916,659503840,628.998,771.228,291,21.000000,108368
veh50,2322279893,648861123,633.828,776.401,297,6.000000,108368
veh51,96072412,648861126,666.415,823.526,712,92.000000,4544836447
veh52,4844725956,cluster_106831_2624855755,649.383,767.205,446,3.000000,108368
veh53,3024783793,659503962,693.870,853.317,809,5.000000,4544836447
veh54,364653499,648861168,613.126,746.715,961,3.000000,273783
veh55,1691695943,106868,618.275,765.884,267,3.000000,108368
veh56,2681420503,243509404,658.934,814.506,1094,17.000000,4544836447
veh57,26592050,648861101,681.444,,,,
veh58,26592129,34223059,658.719,778.062,1400,5.000000,273783
veh59,4844725956,31145991,665.724,782.722,1497,4.000000,273783
veh60,108349702,47855260,626.232,755.359,1139,5.000000,273783
veh61,26592137,648861171,628.941,747.159,1395,67.000000,273783
veh62,858395763,2264273371,672.625,827.657,974,50.000000,4544836447
veh63,4844725951,4712600944,678.562,796.777,1501,4.000000,273783
veh64,4844725951,106841,642.178,759.853,1505,4.000000,273783
veh65,2689677100,648861167,617.188,781.889,830,21.000000,4544836447
veh66,26592073,648861165,660.842,,,,
veh67,26592065,34223059,661.265,818.059,906,9.000000,4544836447
veh68,619174396,cluster_106831_2624855755,646.600,767.205,443,59.000000,108368
veh69,cluster_18129859_26592176,47855263,627.408,793.059,909,3.000000,4544836447
veh70,1691695945,cluster_1841441881_1841441899,629.059,757.166,954,3.000000,273783
veh71,619174396,648861165,659.413,777.691,1488,22.000000,273783
veh72,26592142,985082001,696.556,,,,
veh73,26592137,900714116,635.647,791.111,977,3.000000,4544836447
veh74,96071393,cluster_18060034_48677470,708.212,804.936,1235,4.000000,273783
veh75,864927941,985081818,694.402,850.740,897,67.000000,4544836447
veh76,26592140,4712600953,671.200,788.379,1328,4.000000,273783
veh77,cluster_26592975_96071420,28800413,653.941,796.709,384,3.000000,108368
veh78,1691695889,34223059,642.240,809.797,726,14.000000,4544836447
veh79,858395757,cluster_3309729692_648861184,657.152,775.478,1195,47.000000,273783
veh80,619174396,288164061,723.146,,,,
veh81,26592129,108594,701.291,820.094,1324,3.000000,273783
veh82,4844725952,648861173,644.724,762.044,1513,4.000000,273783
veh83,26592154,34223059,664.030,828.562,917,4.000000,4544836447
veh84,26592061,198242,662.285,,,,
veh85,26593078,cluster_18060034_48677470,681.282,767.065,858,inf,273783
veh86,5164153626,cluster_108590_648861112,645.550,772.585,1130,5.000000,273783
veh87,5167408132,31145991,631.670,794.557,730,4.000000,4544836447
veh88,26592154,48311975,664.600,790.787,1239,4.000000,273783
veh89,26593078,cluster_108590_648861112,663.627,789.841,620,9.000000,4544836447
veh90,cluster_18129859_26592176,18060026,670.107,835.199,913,4.000000,4544836447
veh91,26592137,560720542,645.852,803.297,1007,8.000000,4544836447
veh92,26592084,1163157561,691.699,,,,
veh93,26592050,26662534,694.818,,,,
veh94,26592084,198242,644.848,787.907,361,2.000000,108368
veh95,108349702,648861171,624.191,733.760,373,3.000000,108368
veh96,26592056,34167523,658.436,,,,
veh97,364653543,3171486566,651.681,770.773,1311,68.000000,273783
veh98,4844725950,198282,721.996,,,,
veh99,2323414045,198248,646.153,773.188,1125,72.000000,273783
