id,source,destination,shortest.path.length,diversion.path.length,sample.time,sample.time.diff,target.id
veh0,364653468,648861126,676.420,777.084,545,88.000000,601141518
veh1,1710389916,34223057,655.080,764.524,457,2.000000,601141518
veh2,26607505,648861165,631.043,740.049,455,60.000000,601141518
veh3,26592107,48695367,676.677,784.033,455,0.000000,601141518
veh4,cluster_2322273093_26592033_26592053,10530339,622.174,729.543,395,inf,601141518
veh5,5162003756,659503962,706.366,769.024,,,601141518
veh6,96072412,cluster_122526274_48932366,673.404,801.153,1849,inf,1039760426
veh7,5167408132,1163157561,671.735,769.944,,,601141518
veh8,2681420502,288164060,690.277,797.266,1625,1080.000000,601141518
veh9,cluster_2322273086_2322273094_2322284839_2322284842_2322284843_2322284844_2322288196_3110025107_5167408001,108594,703.396,810.765,1715,90.000000,601141518
