target,vehicle,time,dt
108368,veh3,261,inf
108368,veh0,264,3.000000
108368,veh57,267,3.000000
108368,veh1,283,16.000000
108368,veh55,285,2.000000
108368,veh19,288,3.000000
108368,veh9,360,72.000000
108368,veh45,362,2.000000
108368,veh13,365,3.000000
108368,veh93,368,3.000000
108368,veh87,371,3.000000
108368,veh73,374,3.000000
108368,veh64,376,2.000000
108368,veh40,442,66.000000
108368,veh16,451,9.000000
108368,veh32,533,82.000000
4544836447,veh79,541,inf
4544836447,veh46,614,73.000000
4544836447,veh37,620,6.000000
4544836447,veh36,727,107.000000
4544836447,veh44,731,4.000000
4544836447,veh35,735,4.000000
4544836447,veh26,741,6.000000
4544836447,veh63,791,50.000000
4544836447,veh89,795,4.000000
273783,veh84,853,inf
273783,veh6,859,6.000000
4544836447,veh72,903,108.000000
4544836447,veh28,909,6.000000
4544836447,veh49,925,16.000000
4544836447,veh94,928,3.000000
4544836447,veh66,932,4.000000
273783,veh58,947,88.000000
4544836447,veh15,987,55.000000
4544836447,veh20,995,8.000000
4544836447,veh5,1012,17.000000
4544836447,veh71,1015,3.000000
273783,veh29,1040,93.000000
273783,veh60,1044,4.000000
273783,veh62,1047,3.000000
273783,veh76,1051,4.000000
273783,veh88,1054,3.000000
4544836447,veh10,1056,41.000000
4544836447,veh52,1087,31.000000
4544836447,veh95,1090,3.000000
4544836447,veh75,1094,4.000000
273783,veh96,1127,73.000000
273783,veh8,1133,6.000000
273783,veh33,1136,3.000000
273783,veh30,1140,4.000000
273783,veh82,1144,4.000000
273783,veh39,1148,4.000000
273783,veh69,1152,4.000000
4544836447,veh56,1161,67.000000
4544836447,veh34,1164,3.000000
4544836447,veh90,1172,8.000000
273783,veh53,1194,42.000000
273783,veh91,1224,30.000000
273783,veh67,1229,5.000000
273783,veh42,1233,4.000000
273783,veh83,1236,3.000000
273783,veh27,1240,4.000000
273783,veh12,1285,45.000000
273783,veh47,1311,26.000000
273783,veh80,1315,4.000000
273783,veh54,1319,4.000000
273783,veh59,1322,3.000000
273783,veh14,1326,4.000000
273783,veh74,1329,3.000000
273783,veh24,1382,53.000000
273783,veh4,1385,3.000000
273783,veh97,1401,16.000000
273783,veh61,1405,4.000000
273783,veh78,1409,4.000000
273783,veh21,1413,4.000000
273783,veh99,1416,3.000000
273783,veh43,1465,49.000000
273783,veh81,1469,4.000000
273783,veh48,1492,23.000000
273783,veh85,1495,3.000000
273783,veh68,1499,4.000000
273783,veh86,1503,4.000000
273783,veh22,1507,4.000000
273783,veh77,1510,3.000000
273783,veh51,1553,43.000000
273783,veh98,1557,4.000000
273783,veh70,1579,22.000000
273783,veh50,1588,9.000000
