target,vehicle,time,dt
cluster_452486132_452486137,veh11,439,inf
cluster_452486132_452486137,veh66,441,2.000000
21554363,veh58,490,inf
21554363,veh26,497,7.000000
21554363,veh18,500,3.000000
cluster_452486132_452486137,veh95,526,85.000000
cluster_452486132_452486137,veh12,528,2.000000
cluster_452486132_452486137,veh84,616,88.000000
cluster_452486132_452486137,veh39,620,4.000000
cluster_452486132_452486137,veh14,622,2.000000
cluster_452486132_452486137,veh33,624,2.000000
cluster_452486132_452486137,veh42,626,2.000000
cluster_452486132_452486137,veh32,708,82.000000
cluster_452486132_452486137,veh71,711,3.000000
cluster_452486132_452486137,veh30,713,2.000000
cluster_452486132_452486137,veh91,716,3.000000
cluster_110096_110104,veh68,723,inf
cluster_110096_110104,veh73,723,0.000000
21554363,veh23,743,243.000000
cluster_452486132_452486137,veh57,794,78.000000
cluster_452486132_452486137,veh69,799,5.000000
cluster_452486132_452486137,veh54,801,2.000000
cluster_452486132_452486137,veh1,805,4.000000
cluster_452486132_452486137,veh97,808,3.000000
21554363,veh81,870,127.000000
cluster_452486132_452486137,veh51,883,75.000000
cluster_452486132_452486137,veh9,894,11.000000
cluster_452486132_452486137,veh19,896,2.000000
cluster_452486132_452486137,veh49,898,2.000000
21554363,veh74,941,71.000000
21554363,veh4,942,1.000000
cluster_452486132_452486137,veh34,977,79.000000
cluster_452486132_452486137,veh59,980,3.000000
cluster_452486132_452486137,veh31,1064,84.000000
cluster_452486132_452486137,veh46,1070,6.000000
cluster_452486132_452486137,veh96,1072,2.000000
cluster_452486132_452486137,veh78,1074,2.000000
cluster_452486132_452486137,veh2,1157,83.000000
cluster_452486132_452486137,veh72,1161,4.000000
cluster_452486132_452486137,veh17,1250,89.000000
cluster_452486132_452486137,veh61,1252,2.000000
cluster_452486132_452486137,veh80,1254,2.000000
cluster_452486132_452486137,veh89,1256,2.000000
cluster_452486132_452486137,veh99,1337,81.000000
cluster_452486132_452486137,veh25,1342,5.000000
cluster_452486132_452486137,veh75,1343,1.000000
cluster_452486132_452486137,veh62,1345,2.000000
cluster_452486132_452486137,veh10,1347,2.000000
21554363,veh21,1400,458.000000
cluster_452486132_452486137,veh70,1427,80.000000
cluster_452486132_452486137,veh35,1429,2.000000
cluster_452486132_452486137,veh41,1432,3.000000
cluster_452486132_452486137,veh77,1434,2.000000
21554363,veh88,1493,93.000000
cluster_452486132_452486137,veh79,1518,84.000000
cluster_452486132_452486137,veh8,1521,3.000000
cluster_452486132_452486137,veh27,1523,2.000000
cluster_452486132_452486137,veh43,1525,2.000000
21554363,veh64,1572,79.000000
cluster_452486132_452486137,veh55,1607,82.000000
cluster_452486132_452486137,veh86,1609,2.000000
cluster_452486132_452486137,veh20,1611,2.000000
21554363,veh37,1658,86.000000
cluster_452486132_452486137,veh83,1699,88.000000
cluster_452486132_452486137,veh3,1701,2.000000
cluster_452486132_452486137,veh45,1703,2.000000
cluster_452486132_452486137,veh87,1705,2.000000
21554363,veh98,1757,99.000000
cluster_452486132_452486137,veh13,1785,80.000000
cluster_452486132_452486137,veh5,1795,10.000000
cluster_452486132_452486137,veh38,1797,2.000000
cluster_452486132_452486137,veh24,1800,3.000000
21554363,veh0,1838,81.000000
cluster_452486132_452486137,veh44,1877,77.000000
cluster_452486132_452486137,veh40,1879,2.000000
cluster_452486132_452486137,veh60,1881,2.000000
cluster_452486132_452486137,veh22,1884,3.000000
21554363,veh85,1943,105.000000
21554363,veh6,1946,3.000000
cluster_452486132_452486137,veh28,1966,82.000000
cluster_452486132_452486137,veh7,1971,5.000000
21554363,veh65,2025,79.000000
21554363,veh93,2028,3.000000
21554363,veh82,2032,4.000000
21554363,veh48,2039,7.000000
21554363,veh92,2093,54.000000
21554363,veh63,2110,17.000000
21554363,veh90,2112,2.000000
21554363,veh53,2117,5.000000
21554363,veh15,2126,9.000000
21554363,veh50,2183,57.000000
