target,vehicle,time,dt
4957699359,veh40,38,38.000000
4967088341,veh42,109,109.000000
4957699359,veh53,191,153.000000
4957699359,veh28,193,2.000000
89226752,veh25,231,231.000000
1953814199,veh57,258,258.000000
4957699359,veh73,277,84.000000
4957699359,veh11,280,3.000000
1630605982,veh54,281,281.000000
1630605982,veh8,281,0.000000
4957699359,veh59,284,4.000000
1881001588,veh0,285,285.000000
1630605982,veh41,285,4.000000
4957699359,veh31,292,8.000000
4957699359,veh48,307,15.000000
1953814199,veh10,308,50.000000
1953814199,veh77,322,14.000000
1953814199,veh15,333,11.000000
4957699359,veh78,369,62.000000
634568069,veh33,379,379.000000
1881001588,veh43,380,95.000000
1953814199,veh44,390,57.000000
1881001588,veh3,391,11.000000
1881001588,veh4,392,1.000000
1953814199,veh2,400,10.000000
4957699359,veh56,406,37.000000
1953814199,veh21,416,16.000000
194255,veh72,436,436.000000
5973592510,veh60,447,447.000000
1630605982,veh50,448,163.000000
1166035225,veh66,466,466.000000
4957699359,veh27,474,68.000000
1614949613,veh38,475,475.000000
634568069,veh52,475,96.000000
1881001588,veh55,475,83.000000
1614949613,veh67,487,12.000000
1953814199,veh16,495,79.000000
5973592510,veh32,496,49.000000
751735372,veh45,496,496.000000
12354831,veh35,505,505.000000
1953814199,veh36,506,11.000000
1953814199,veh30,516,10.000000
194255,veh51,517,81.000000
968291529,veh64,517,517.000000
1881001588,veh71,517,42.000000
1953814199,veh63,526,10.000000
4957699359,veh9,549,75.000000
12354831,veh34,550,45.000000
1614949613,veh68,550,63.000000
634568069,veh6,551,76.000000
1953814199,veh14,578,52.000000
1881001588,veh1,579,62.000000
1614949613,veh39,580,30.000000
4957699359,veh20,581,32.000000
1953814199,veh70,589,11.000000
25472347,veh76,590,590.000000
1614949613,veh79,621,41.000000
1630605982,veh12,622,174.000000
968291529,veh69,646,129.000000
25472347,veh65,658,68.000000
5973592510,veh26,659,163.000000
194255,veh61,659,142.000000
1881001588,veh75,660,81.000000
12443172,veh74,678,678.000000
194255,veh24,679,20.000000
1881001588,veh29,679,19.000000
12689154,veh18,687,687.000000
968291529,veh13,740,94.000000
194255,veh5,763,84.000000
194255,veh46,789,26.000000
968291529,veh17,813,73.000000
1881001588,veh19,814,135.000000
194255,veh23,814,25.000000
1881001588,veh37,814,0.000000
1881001588,veh58,815,1.000000
194255,veh49,892,78.000000
968291529,veh7,924,111.000000
1166035225,veh22,1104,638.000000
1166035225,veh62,1111,7.000000
1166035225,veh47,1171,60.000000
